p1        p2        p3         n(p1,p2)  n(p2,p3)  n(p1,p3)    d         p
neomar    neobri    telvit          149        49        40    0.101    0.39657016
neooli    neopul    neobri          104        79        55    0.179    0.04652820
neobri    neooli    neosav          104        74        60    0.104    0.26135030
neobri    neooli    neowal          166        39        33    0.083    0.55599772
neooli    neobri    telvit          169        35        34    0.014    1.00000000
neobri    neopul    neosav          120        68        50    0.153    0.11721294
neobri    neopul    neowal          169        39        30    0.130    0.33555762
neobri    neopul    telvit          169        35        34    0.014    1.00000000
neobri    neosav    neowal          149        52        37    0.169    0.13736797
neobri    neosav    telvit          144        48        46    0.021    0.91792307
neobri    telvit    neowal           82        82        74    0.051    0.57531548
neocra    neochi    neocan          130        54        54    0.000    1.00000000
neogra    neochi    neocan          133        57        48    0.086    0.43511449
neohel    neochi    neocan          130        57        51    0.056    0.63063383
neomar    neochi    neocan          130        54        54    0.000    1.00000000
neooli    neochi    neocan          134        52        52    0.000    1.00000000
neopul    neochi    neocan          131        56        51    0.047    0.69917498
neosav    neochi    neocan          136        51        51    0.000    1.00000000
neowal    neochi    neocan          224         7         7    0.000    1.00000000
neochi    telvit    neocan          114        90        34    0.452    0.00000051
neocra    neogra    neocan          193        24        21    0.067    0.76599182
neohel    neocra    neocan          184        29        25    0.074    0.68348923
neocra    neomar    neocan          203        21        14    0.200    0.31050466
neocra    neooli    neocan          196        25        17    0.190    0.27995624
neocra    neopul    neocan          193        24        21    0.067    0.76599182
neocra    neosav    neocan          179        33        26    0.119    0.43499281
neocra    neowal    neocan          128        56        54    0.018    0.92409739
neocra    telvit    neocan          114        92        32    0.484    0.00000007
neogra    neohel    neocan          195        22        21    0.023    1.00000000
neogra    neomar    neocan          187        28        23    0.098    0.57584935
neogra    neooli    neocan          201        21        16    0.135    0.51137578
neogra    neopul    neocan          199        21        18    0.077    0.74925862
neogra    neosav    neocan          188        28        22    0.120    0.47988766
neogra    neowal    neocan          130        59        49    0.093    0.38657261
neogra    telvit    neocan          117        94        27    0.554    0.00000000
neohel    neomar    neocan          181        31        26    0.088    0.59664176
neohel    neooli    neocan          198        23        17    0.150    0.42959051
neopul    neohel    neocan          202        18        18    0.000    1.00000000
neohel    neosav    neocan          181        32        25    0.123    0.42704286
neohel    neowal    neocan          129        59        50    0.083    0.44366950
neohel    telvit    neocan          118        91        29    0.517    0.00000001
neomar    neooli    neocan          194        24        20    0.091    0.65158783
neopul    neomar    neocan          190        24        24    0.000    1.00000000
neomar    neosav    neocan          173        33        32    0.015    1.00000000
neomar    neowal    neocan          128        57        53    0.036    0.77500298
neomar    telvit    neocan          113        91        34    0.456    0.00000035
neopul    neooli    neocan          209        17        12    0.172    0.45825832
neosav    neooli    neocan          190        24        24    0.000    1.00000000
neooli    neowal    neocan          131        55        52    0.028    0.84680208
neooli    telvit    neocan          117        92        29    0.521    0.00000001
neopul    neosav    neocan          190        26        22    0.083    0.66546581
neopul    neowal    neocan          129        59        50    0.083    0.44366950
neopul    telvit    neocan          118        92        28    0.533    0.00000000
neosav    neowal    neocan          136        52        50    0.020    0.92119105
neosav    telvit    neocan          122        88        28    0.517    0.00000002
neowal    telvit    neocan          116        86        36    0.410    0.00000691
neogra    neocra    neochi          166        39        33    0.083    0.55599772
neocra    neohel    neochi          161        41        36    0.065    0.64879116
neocra    neomar    neochi          185        29        24    0.094    0.58313215
neocra    neooli    neochi          167        42        29    0.183    0.15391277
neocra    neopul    neochi          166        44        28    0.222    0.07636915
neocra    neosav    neochi          148        56        34    0.244    0.02630167
neowal    neochi    neocra          216        11        11    0.000    1.00000000
neochi    neocra    telvit           81        80        77    0.019    0.87324814
neogra    neohel    neochi          162        40        36    0.053    0.73100888
neogra    neomar    neochi          152        51        35    0.186    0.10522535
neogra    neooli    neochi          164        45        29    0.216    0.08050686
neogra    neopul    neochi          159        46        33    0.165    0.17661055
neogra    neosav    neochi          142        57        39    0.188    0.08219307
