Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate	theta	population_size	
850	-5701.164293302795	-5686.54667650509	-14.617616797705569	0.46521448234614987	6.17443093056717	0.010452617215440585	0.012756777967526629	101703.2202286009	
900	-5702.203801204974	-5687.602128796719	-14.601672408255792	0.5255225775210927	6.17443093056717	0.010856708968664783	0.013986283932927465	107355.15379856691	
950	-5700.337776125885	-5686.618518737221	-13.719257388664236	0.6379811692057374	5.343022935255734	0.013120646048640435	0.013394458624535375	85072.40277955744	
1000	-5699.586168362353	-5685.906700645233	-13.679467717119923	0.5752723028070913	5.349527067143464	0.01331103200061454	0.013772729614515158	86223.7779777913	
1050	-5702.646673588768	-5688.098367690569	-14.548305898199098	0.38624093992839575	5.349527067143464	0.013325900536414534	0.012471551807269634	77990.67545935391	
1100	-5698.770339929943	-5684.1938492733625	-14.576490656579718	0.5499480861362664	6.229286487370058	0.009692455167189752	0.01128866013831609	97057.10905710199	
1150	-5697.690789432808	-5683.715734129288	-13.97505530351966	0.5652659525390649	5.940373154779789	0.009067196463082365	0.010900003082064154	100177.99811334712	
1200	-5695.39626474716	-5680.613600289652	-14.782664457508375	0.5476636982566923	6.437440650666589	0.00856810722322617	0.010900003082064154	106013.33135861432	
1250	-5697.981093741301	-5682.448914283868	-15.532179457432616	0.7056258485769253	6.4040166304307915	0.00856810722322617	0.01108097088168188	107773.42254039407	
1300	-5697.165338518924	-5682.192463089839	-14.972875429084331	0.5639526068464225	6.4160273685654605	0.00858480163072378	0.010104168220263164	98081.94231789999	
1350	-5698.471078152687	-5682.96851240575	-15.502565746937965	0.3290807661697204	6.348291587119152	0.008827072974750317	0.01098496340130165	103705.2281536203	
1400	-5698.360597965794	-5683.169476501453	-15.191121464341517	0.3767409485649762	6.348291587119152	0.009717364530244728	0.011649656850574253	99904.11850108963	
1450	-5701.114052599314	-5685.16323980396	-15.950812795353674	0.36924311973620894	6.783740071552815	0.008374482882589313	0.010320820375829615	102701.07142263842	
1500	-5698.9751245725565	-5683.862138643317	-15.112985929239716	0.4373670726921452	6.5437561155552615	0.008129982314783752	0.010942332696312262	112160.27572014174	
1550	-5698.857115555732	-5682.938829664997	-15.918285890734822	0.3050380023681524	6.317957650863614	0.009689200046083687	0.011610917173684268	99861.33287974005	
1600	-5698.385354801378	-5683.236557270389	-15.148797530988741	0.31799327908879393	5.472833783441054	0.009871889123054181	0.010493329011533655	88579.20438473627	
1650	-5695.789913602941	-5681.9277706109515	-13.862142991989206	0.5069568126506783	5.76472600714207	0.009586961476673265	0.010493329011533655	91211.80745558902	
1700	-5698.209900237277	-5684.100778297065	-14.10912194021261	0.617023649757041	5.864866408614768	0.009334681625391564	0.010115384373807185	90302.88676630746	
1750	-5699.430977217443	-5683.023457694311	-16.407519523131825	0.9710611914014267	5.864866408614768	0.008782077924557997	0.010242319341127494	97189.59670966283	
1800	-5696.741323817001	-5682.123774048827	-14.617549768173845	0.37959401639113555	6.121026324161978	0.009007665279876708	0.009920140168989854	91774.98516320717	
1850	-5695.8475305727225	-5682.186642770344	-13.660887802377875	0.6100309000125093	5.697535511662584	0.0101833408081	0.011397766390012944	93271.3422572398	
1900	-5696.103962766596	-5682.639554782725	-13.464407983871288	0.5892078176453439	5.318998074319115	0.012244052962619337	0.011397766390012944	77573.48557166163	
1950	-5695.547661582013	-5681.928710505763	-13.618951076249314	0.8302261670264438	5.180385141740481	0.011094376934618304	0.010542406692929919	79187.31229837367	
2000	-5696.180610016709	-5681.783273754103	-14.397336262605519	0.9480509035181649	5.027664003142478	0.011215616505700248	0.010542406692929919	78331.30623100257	
2050	-5695.514048448953	-5682.147891425173	-13.366157023779614	0.5893149540192445	5.374449179908015	0.010565818785700936	0.010166651817716636	80185.07623434646	
