Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
24000	-5698.461246965045	-5683.038205014191	-15.423041950853888	0.7096774827213995	6.458577001570765	0.007429392288408112
24050	-5697.25087003172	-5681.908554166156	-15.342315865563855	0.6751838420112566	6.458577001570765	0.007429392288408112
24100	-5696.39545723541	-5681.88843279293	-14.507024442479654	0.5844765715651404	6.241595298237159	0.00906560077053165
24150	-5693.70690936774	-5680.330627203734	-13.376282164005964	0.5934274643952174	5.458555032553695	0.010470518652004435
24200	-5698.130709482149	-5682.6555573273345	-15.475152154813921	0.6398795226013017	6.466952857569306	0.01174716965698614
24250	-5694.34189320455	-5679.255106188838	-15.086787015712027	0.5639144437039776	6.466952857569306	0.010695132662008843
24300	-5698.927101211113	-5679.9987243938585	-18.928376817254463	0.5994464006562128	7.659656949992243	0.008517421574552722
24350	-5697.193325543827	-5678.687969300056	-18.505356243771722	0.4387253558419956	7.81799517887367	0.007697890169931063
24400	-5698.637334750227	-5680.789449007945	-17.84788574228194	0.6292544643949896	7.294654237478989	0.008669420098966665
24450	-5696.580978980914	-5680.741020442479	-15.839958538434797	0.49889006955476184	6.8928057640366545	0.007908713109770767
24500	-5698.595789932112	-5679.499925221192	-19.09586471092002	0.9138146505075667	6.8928057640366545	0.008730935068988735
24550	-5695.568304366017	-5678.901903965457	-16.666400400560338	0.333283299015085	7.021134973851307	0.008587946664199108
24600	-5695.988180449294	-5678.997720719419	-16.99045972987536	0.6013613803853487	7.129462477612058	0.008325158278876392
24650	-5698.943401014557	-5682.29610536238	-16.64729565217643	0.3383204143070896	7.052105694836184	0.008325158278876392
24700	-5695.924779301176	-5680.943274024816	-14.981505276360554	0.6174688906731839	6.38412454607123	0.009734150838296696
24750	-5696.093962482041	-5680.730857517453	-15.363104964587977	0.4825374059906662	6.6551332335233155	0.010016474121154927
24800	-5696.006731928745	-5680.4766944483545	-15.530037480390046	0.529198549948653	6.6986135895252925	0.010016474121154927
24850	-5697.798908959815	-5681.191047455897	-16.60786150391739	0.3431328423221531	6.969457830319761	0.010016474121154927
24900	-5698.076173450819	-5680.560888513698	-17.5152849371203	0.312646867027475	7.253681650897168	0.009285874107811115
24950	-5697.456735243249	-5681.131247811325	-16.325487431923992	0.44770420061421706	7.047496511241302	0.009128364127613628
