P1	P2	P3	Dstatistic	p-value
neocra	neooli	telvit	0.00511371	0.353628
neosav	neocra	neopul	0.118702	9.0759e-08
neocra	neopul	neowal	0.00308221	0.435859
neocra	neopul	telvit	0.0114469	0.258136
neocra	neosav	neowal	0.00624115	0.381171
neocra	neosav	telvit	0.0245077	0.0541857
neowal	neocra	telvit	0.0235832	0.067789
neohel	neogra	neomar	0.058341	0.00376817
neogra	neooli	neohel	0.0477267	0.0387506
neopul	neohel	neogra	0.0231093	0.134126
neosav	neogra	neohel	0.109351	6.68567e-07
neohel	neogra	neowal	0.0166679	0.196986
neohel	neogra	telvit	0.0183562	0.0441823
neooli	neogra	neomar	0.0288385	0.106838
neopul	neogra	neomar	0.0328806	0.047139
neomar	neogra	neosav	0.0767523	2.7927e-10
neomar	neogra	neowal	0.0101515	0.290982
neomar	neogra	telvit	0.0555492	1.07922e-08
neooli	neopul	neogra	0.101919	9.72974e-10
neosav	neogra	neooli	0.0652513	0.00071902
neooli	neogra	neowal	0.0314773	0.0722576
neooli	neogra	telvit	0.0167796	0.101183
neosav	neogra	neopul	0.0650277	0.000613213
neogra	neopul	neowal	0.00728309	0.279924
neopul	neogra	telvit	0.00776711	0.226923
neogra	neosav	neowal	0.011386	0.233575
neogra	neosav	telvit	0.00308173	0.401011
neowal	neogra	telvit	0.0337398	0.00181062
neohel	neooli	neomar	0.030694	0.0575251
neohel	neopul	neomar	0.0264529	0.0565545
neomar	neosav	neohel	0.0455207	0.00994194
neomar	neohel	neowal	0.000236653	0.491883
neomar	neohel	telvit	0.0412159	0.00246795
neooli	neopul	neohel	0.0798801	0.00135426
neooli	neohel	neosav	0.0461147	0.00346784
neooli	neohel	neowal	0.0176257	0.216873
neooli	neohel	telvit	0.00432162	0.360402
neohel	neopul	neosav	0.0283526	0.0787322
neohel	neopul	neowal	0.0262057	0.116075
neohel	neopul	telvit	0.00671876	0.320025
neohel	neosav	neowal	0.0235795	0.0580633
neohel	neosav	telvit	0.0220847	0.0693314
neowal	neohel	telvit	0.0258036	0.0486171
neopul	neooli	neomar	0.00116186	0.47777
neosav	neomar	neooli	0.0136361	0.24514
neooli	neomar	neowal	0.0200231	0.124387
neomar	neooli	telvit	0.0352139	0.00987037
neomar	neosav	neopul	0.041611	0.00649265
neomar	neopul	neowal	0.0145142	0.269088
neomar	neopul	telvit	0.0425004	0.0052424
neomar	neosav	neowal	0.0155744	0.181326
neomar	neosav	telvit	0.054108	8.79328e-08
neowal	neomar	telvit	0.0016309	0.456162
neooli	neopul	neosav	0.0940377	0.000869032
neooli	neopul	neowal	0.0621329	0.00172828
neooli	neopul	telvit	0.0205495	0.0737134
neooli	neosav	neowal	0.0437443	0.0130021
neooli	neosav	telvit	0.0282955	0.0582289
neowal	neooli	telvit	0.0191029	0.0650156
neopul	neosav	neowal	0.00370773	0.440784
neopul	neosav	telvit	0.0114185	0.259366
neowal	neopul	telvit	0.0340329	0.00414063
neowal	neosav	telvit	0.0379345	0.0248196
