P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S19	S15	S00	0.0352941	0.184669	0.426744	7.42547e-06	114989	22	20.5
S17	S16	S00	0.00621118	0.0308167	0.487708	1.2378e-06	117880	20.25	20
S16	S18	S00	0.0361446	0.183859	0.427062	7.42937e-06	117858	21.5	20
S16	S19	S00	0.0731707	0.376024	0.353449	1.48492e-05	117877	22	19
S17	S18	S00	0.333333	0	nan	8.6684e-06	151832	3.5	1.75
S17	S19	S00	0.481481	0.98282	0.162848	1.60848e-05	151947	5	1.75
S18	S19	S00	1	0	nan	7.42372e-06	179922	1.5	0
S01	S02	S03	0.0315904	0.634294	0.262944	7.86907e-05	67149.8	236.75	222.25
S01	S02	S04	0.039173	0.754874	0.225162	9.75853e-05	67154.5	238.75	220.75
S01	S02	S05	0.0369164	0.740553	0.229482	9.20921e-05	67117.5	238.75	221.75
S01	S02	S06	0.0369164	0.740553	0.229482	9.22201e-05	67132.8	238.75	221.75
S01	S02	S07	0.0369164	0.740553	0.229482	9.195e-05	67129.8	238.75	221.75
S01	S02	S08	0.11828	0.991771	0.160655	0.000108634	84165.5	104	82
S01	S02	S09	0.053701	0.422821	0.336213	4.56933e-05	84298.5	90.75	81.5
S01	S02	S10	0.0733138	0.600699	0.27402	6.15853e-05	84111.8	91.5	79
S01	S02	S11	0.115438	1.16224	0.122568	0.000102531	84327	100.25	79.5
S01	S02	S12	0.108071	1.16795	0.121414	9.71393e-05	84269.5	101.25	81.5
S01	S02	S13	0.0871369	0.947702	0.171641	7.80875e-05	84261.2	98.25	82.5
S01	S02	S14	0.0811554	0.881833	0.188933	7.31134e-05	84271.2	98.25	83.5
S01	S02	S15	0.0820584	0.889752	0.186799	7.30053e-05	84269	97.25	82.5
S01	S02	S16	0.0760719	0.828523	0.203687	6.75952e-05	84272.5	97.25	83.5
S01	S02	S17	0.0820584	0.889752	0.186799	7.33168e-05	84273.8	97.25	82.5
S01	S02	S18	0.0820584	0.889752	0.186799	7.30198e-05	84273	97.25	82.5
S01	S02	S19	0.0820584	0.889752	0.186799	7.30887e-05	84271.5	97.25	82.5
S04	S03	S01	0.00378158	0.0954566	0.461976	3.38337e-05	41947.5	829.5	823.25
S03	S05	S01	0.019257	0.479504	0.31579	0.000171758	41923.5	840.25	808.5
S03	S06	S01	0.00997883	0.249104	0.40164	8.92261e-05	41936.5	835	818.5
S03	S07	S01	0.011811	0.296054	0.383594	0.000105523	41967.2	835.25	815.75
S03	S01	S08	0.0134752	0.734795	0.231232	0.000374916	20014	2858	2782
S03	S01	S09	0.00266233	0.13017	0.448216	7.28553e-05	20067	2777.5	2762.75
S03	S01	S10	0.0176707	0.955511	0.16966	0.000487864	19956	2850.75	2751.75
S01	S03	S11	0.0100252	0.512985	0.303981	0.000280436	20122	2858.75	2802
S03	S01	S12	0.00144972	0.0822205	0.467236	4.05668e-05	20110	2849.5	2841.25
S01	S03	S13	0.00729411	0.385775	0.349832	0.000204315	20058.2	2848.25	2807
S01	S03	S14	0.00553269	0.293372	0.384619	0.000154807	20068.8	2839.75	2808.5
S01	S03	S15	0.00660081	0.358672	0.35992	0.000184318	20062	2840.25	2803
S01	S03	S16	0.00465322	0.246716	0.402564	0.000129024	20069	2833.75	2807.5
S01	S03	S17	0.00642588	0.341722	0.36628	0.000180011	20066.2	2838.75	2802.5
S01	S03	S18	0.00642816	0.342695	0.365914	0.000179387	20064.5	2837.75	2801.5
S01	S03	S19	0.00642816	0.342695	0.365914	0.000179515	20063	2837.75	2801.5
S04	S05	S01	0.120635	1.66231	0.0482254	0.000205555	74770.4	176.5	138.5
S04	S06	S01	0.0723946	1.09642	0.136447	0.000123173	74782.5	168.5	145.75
S04	S07	S01	0.0819411	1.19979	0.11511	0.000139423	74776.4	170	144.25
S04	S01	S08	0.00529101	0.269809	0.393654	0.00014803	19999.8	2850	2820
S01	S04	S09	0.00292306	0.133714	0.446815	8.03121e-05	20054.8	2787.75	2771.5
S04	S01	S10	0.0101162	0.530512	0.297879	0.000280633	19944.8	2845.75	2788.75
S01	S04	S11	0.0127749	0.626088	0.265629	0.000359642	20124.8	2883.75	2811
S04	S01	S12	4.38539e-05	0.00227666	0.499092	1.22975e-06	20104.8	2850.5	2850.25
S01	S04	S13	0.0106482	0.513874	0.30367	0.000298726	20044	2859.25	2799
S01	S04	S14	0.00755935	0.370154	0.355634	0.000211862	20060.2	2849	2806.25
S01	S04	S15	0.00872106	0.434767	0.331866	0.000243597	20051.8	2848.25	2799
S01	S04	S16	0.00677321	0.33084	0.370383	0.000187969	20059.8	2842.75	2804.5
S01	S04	S17	0.00871951	0.42596	0.335068	0.000244469	20057	2848.75	2799.5
S01	S04	S18	0.0087226	0.426995	0.334692	0.000243754	20055.2	2847.75	2798.5
S01	S04	S19	0.0087226	0.426995	0.334692	0.000243883	20053.8	2847.75	2798.5
S06	S05	S01	0.414966	1.89366	0.0291348	8.25576e-05	120849	26	10.75
S07	S05	S01	0.379845	1.6374	0.050773	6.62924e-05	120650	22.25	10
S05	S01	S08	0.00921659	0.454003	0.324913	0.000256423	20034.8	2847	2795
S05	S01	S09	0.000676743	0.0298075	0.48811	1.85137e-05	20093.8	2772.5	2768.75
S05	S01	S10	0.0130206	0.653109	0.256843	0.000359598	19976.8	2839.75	2766.75
S01	S05	S11	0.0115925	0.556261	0.289016	0.000325061	20154.8	2868.75	2803
S05	S01	S12	0.000748141	0.038693	0.484568	2.09085e-05	20134.8	2842.5	2838.25
S01	S05	S13	0.00980436	0.474296	0.317644	0.000273832	20073	2845.25	2790
S01	S05	S14	0.0068788	0.339203	0.367228	0.000192063	20089.2	2836	2797.25
S01	S05	S15	0.00804409	0.403616	0.343247	0.000223778	20080.8	2835.25	2790
S01	S05	S16	0.00626527	0.308669	0.378787	0.000173217	20088.8	2830.75	2795.5
S01	S05	S17	0.00821893	0.404037	0.343093	0.00022966	20086	2836.75	2790.5
S01	S05	S18	0.00822186	0.404854	0.342792	0.000228879	20084.2	2835.75	2789.5
S01	S05	S19	0.00822186	0.404854	0.342792	0.00022906	20082.8	2835.75	2789.5
S06	S07	S01	0.111111	0.547243	0.292106	1.62311e-05	123962	15	12
S06	S01	S08	0.00956429	0.473501	0.317928	0.000266428	20022.5	2850	2796
S06	S01	S09	0.00157878	0.0696598	0.472232	4.32291e-05	20081.5	2775.5	2766.75
S06	S01	S10	0.0135484	0.683737	0.247071	0.000374269	19964.5	2842.75	2766.75
S01	S06	S11	0.00983289	0.475642	0.317165	0.000275768	20143.5	2862.75	2807
S06	S01	S12	0.00233203	0.121876	0.451499	6.51969e-05	20124.5	2847.5	2834.25
S01	S06	S13	0.00820581	0.400911	0.344243	0.000229257	20062.8	2841.25	2795
S01	S06	S14	0.00528021	0.262989	0.396279	0.000147361	20079	2832	2802.25
S01	S06	S15	0.00644301	0.326551	0.372004	0.000179259	20070.5	2831.25	2795
S01	S06	S16	0.0046648	0.232176	0.408201	0.00012906	20078.5	2826.75	2800.5
S01	S06	S17	0.0066184	0.328647	0.371211	0.000184997	20075.8	2832.75	2795.5
S01	S06	S18	0.00662075	0.329322	0.370956	0.000184302	20074	2831.75	2794.5
S01	S06	S19	0.00662075	0.329322	0.370956	0.000184471	20072.5	2831.75	2794.5
S07	S01	S08	0.00885583	0.44161	0.329386	0.000246665	20023.5	2848	2798
S07	S01	S09	0.000496009	0.0220518	0.491203	1.35953e-05	20082.5	2773.5	2770.75
S07	S01	S10	0.0128354	0.648619	0.258292	0.000354667	19965.5	2840.75	2768.75
S01	S07	S11	0.0110578	0.533071	0.296992	0.000310237	20145.5	2868.75	2806
S07	S01	S12	0.00127602	0.0666857	0.473416	3.56317e-05	20124.5	2844.5	2837.25
S01	S07	S13	0.00926706	0.452409	0.325487	0.000258988	20063.8	2845.25	2793
S01	S07	S14	0.00634287	0.315732	0.376103	0.000177165	20080	2836	2800.25
S01	S07	S15	0.00750677	0.380322	0.351853	0.000208983	20071.5	2835.25	2793
S01	S07	S16	0.005729	0.285059	0.387799	0.00015852	20079.5	2830.75	2798.5
S01	S07	S17	0.00768172	0.381381	0.35146	0.000214752	20076.8	2836.75	2793.5
S01	S07	S18	0.00768445	0.382164	0.35117	0.000213945	20075	2835.75	2792.5
S01	S07	S19	0.00768445	0.382164	0.35117	0.00021422	20073.5	2835.75	2792.5
S09	S08	S01	0.0516641	1.84897	0.0322313	0.000660746	34082.5	1358.75	1225.25
S08	S10	S01	0.0201769	0.774727	0.21925	0.000251339	34248.6	1283	1232.25
S11	S08	S01	0.0251187	1.51587	0.0647758	0.000811612	17516.2	3346.5	3182.5
S12	S08	S01	0.0158694	0.932394	0.175567	0.000517333	17503.8	3344.75	3240.25
S13	S08	S01	0.0147133	0.737677	0.230355	0.000471359	17544.8	3284.5	3189.25
S14	S08	S01	0.0161209	0.847614	0.198327	0.00051629	17537.2	3285.5	3181.25
S15	S08	S01	0.0159295	0.84695	0.198511	0.000509959	17548.2	3284.5	3181.5
S16	S08	S01	0.0163452	0.839867	0.200491	0.000522095	17546	3280	3174.5
S17	S08	S01	0.016657	0.865552	0.193368	0.000533139	17539.5	3288.25	3180.5
S18	S08	S01	0.016543	0.862197	0.19429	0.000529464	17541	3287.5	3180.5
S19	S08	S01	0.0163149	0.850487	0.197527	0.000521992	17540.8	3286	3180.5
S09	S10	S01	0.0745574	4.35472	6.66186e-06	0.000911157	34227.5	1327.75	1143.5
S11	S09	S01	0.00468906	0.264876	0.395553	0.000150882	17554.8	3267.5	3237
S09	S12	S01	0.00442951	0.270775	0.393282	0.000143546	17529.5	3288	3259
S09	S13	S01	0.00592174	0.328477	0.371276	0.000189328	17567.8	3248.75	3210.5
S09	S14	S01	0.0045333	0.255532	0.399156	0.000144722	17557.2	3240.75	3211.5
S09	S15	S01	0.00472905	0.27095	0.393215	0.000150986	17557.5	3240	3209.5
S09	S16	S01	0.00434513	0.242242	0.404296	0.000138549	17556.2	3236	3208
S09	S17	S01	0.00399209	0.225693	0.41072	0.000127446	17556.5	3238	3212.25
S09	S18	S01	0.00411012	0.233396	0.407727	0.000131139	17559	3237	3210.5
S09	S19	S01	0.00434243	0.246117	0.402796	0.000138576	17558	3238	3210
S11	S10	S01	0.0331724	1.82537	0.0339725	0.00106234	17523	3344.25	3129.5
S12	S10	S01	0.0237522	1.48655	0.0685663	0.000768757	17630.2	3345.75	3190.5
S13	S10	S01	0.0229038	1.16878	0.121246	0.000722557	17666	3260.25	3114.25
S14	S10	S01	0.0242966	1.29841	0.0970735	0.000767068	17656.5	3267.25	3112.25
S15	S10	S01	0.0241186	1.30485	0.0959714	0.000761131	17662.8	3264.25	3110.5
S16	S10	S01	0.0245396	1.29302	0.0980018	0.000773226	17668.5	3261.75	3105.5
S17	S10	S01	0.0248842	1.32008	0.0934049	0.000784053	17657.8	3264	3105.5
S18	S10	S01	0.0247694	1.31593	0.0940987	0.000780469	17661.2	3263.25	3105.5
S19	S10	S01	0.0245319	1.30189	0.096477	0.000773456	17660	3262.75	3106.5
S11	S12	S01	0.0140479	0.588106	0.27823	0.000294374	25238.5	2147.5	2088
S11	S13	S01	0.0164602	0.734083	0.231449	0.000340133	25204	2122.75	2054
S11	S14	S01	0.0142576	0.668231	0.251993	0.000295633	25218.2	2125.25	2065.5
S11	S15	S01	0.0145204	0.686806	0.246103	0.000301882	25220.5	2131	2070
S11	S16	S01	0.0139203	0.638957	0.261426	0.000289428	25237.5	2130.5	2072
S11	S17	S01	0.0133857	0.617134	0.268573	0.000278244	25233.5	2129.25	2073
S11	S18	S01	0.0135844	0.624133	0.26627	0.000282033	25230.5	2126.5	2069.5
S11	S19	S01	0.0139468	0.639144	0.261365	0.000289607	25231.2	2126.5	2068
S12	S13	S01	0.0087657	0.190918	0.424295	4.57639e-05	51177.8	532.25	523
S12	S14	S01	0.000243724	0.00530197	0.497885	1.23758e-06	51234.5	513	512.75
S12	S15	S01	0.00144023	0.0344355	0.486265	7.42018e-06	51168.2	521.5	520
S16	S12	S01	0.000958773	0.0210693	0.491595	4.9498e-06	51201.8	522	521
S17	S12	S01	0.00311676	0.0692399	0.472399	1.60916e-05	51179.2	523	519.75
S18	S12	S01	0.00241196	0.0532258	0.478776	1.23736e-05	51173	519.5	517
S19	S12	S01	0.00096432	0.0212095	0.491539	4.9495e-06	51167.2	519	518
S14	S13	S01	0.0501393	0.601081	0.273893	4.45484e-05	88171.5	94.25	85.25
S15	S13	S01	0.0471842	0.519621	0.301664	3.83485e-05	88127.8	86	78.25
S16	S13	S01	0.0643642	0.838051	0.201001	5.07558e-05	88190.2	84.75	74.5
S17	S13	S01	0.0728863	0.988996	0.161333	6.18901e-05	88142.2	92	79.5
S18	S13	S01	0.0692194	0.965092	0.167249	5.8164e-05	88056.2	90.75	79
S19	S13	S01	0.0605613	0.846175	0.198728	5.07226e-05	88048.4	89.75	79.5
S14	S15	S01	0.0276243	0.144286	0.442637	6.18542e-06	112502	23.25	22
S16	S14	S01	0.027933	0.148222	0.441084	6.18783e-06	112536	23	21.75
