P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S00	S07	S19	0.00787402	0.240338	0.405034	0.000103512	33429.2	1344	1323
S00	S08	S09	0.0181704	0.993006	0.160354	0.000986309	11495.8	4882	4707.75
S00	S08	S10	0.021261	1.13892	0.127368	0.00114825	11452.8	4881.5	4678.25
S00	S08	S11	0.0211585	1.05982	0.144613	0.00105371	15104	4277.25	4100
S08	S00	S12	0.525808	20.9765	0	0.0162197	31062.2	4227.25	1313.75
S08	S00	S13	0.562798	32.0373	0	0.0165377	30590.2	4591.5	1284.5
S14	S00	S08	0.920137	278.544	0	0.127033	27864.3	25821.9	1074
S08	S00	S15	0.574751	34.4703	0	0.0171084	30553	4671.5	1261.5
S08	S00	S16	0.577881	34.8049	0	0.0172452	30533.8	4694	1255.75
S08	S00	S17	0.0253511	0.809841	0.209016	0.000332299	33487.8	1360	1292.75
S08	S00	S18	0.0193937	0.619144	0.267911	0.000253927	33467.8	1353.5	1302
S08	S00	S19	0.0201393	0.642373	0.260316	0.000263535	33467.8	1355	1301.5
S09	S10	S00	0.0100859	0.362586	0.358457	7.62928e-05	49068.9	676	662.5
S11	S09	S00	0.696802	53.3832	0	0.0232851	39795.8	5133.25	917.25
S09	S00	S12	0.505033	20.9016	0	0.0196987	25345	5298	1742.38
S09	S00	S13	0.546527	28.0027	0	0.0202506	24963.2	5752.5	1686.75
S14	S00	S09	0.870951	136.883	0	0.0997373	29848.9	21018.5	1449.75
S09	S00	S15	0.5504	30.0013	0	0.0206939	24924.8	5831.25	1691
S09	S00	S16	0.552957	29.6558	0	0.0208687	24911.2	5859.5	1686.75
S09	S00	S17	0.0276785	0.858206	0.195389	0.000516097	27279.8	1940	1835.5
S09	S00	S18	0.028277	0.898686	0.18441	0.000527475	27271.8	1945.5	1838.5
S09	S00	S19	0.028662	0.905224	0.182673	0.000534657	27271.8	1947	1838.5
S11	S10	S00	0.81509	83.1097	0	0.0233494	58244	4709.25	479.75
S10	S00	S12	0.506085	20.4149	0	0.0196589	25335.8	5275.25	1730
S10	S00	S13	0.548071	32.1522	0	0.0202266	24958.5	5734.25	1674
S14	S00	S10	0.871152	156.603	0	0.0995475	29830.4	21013.5	1447
S10	S00	S15	0.553768	33.7384	0	0.0207335	24926.2	5819.25	1671.25
S10	S00	S16	0.55631	33.4832	0	0.0209049	24912.5	5847.25	1667
S10	S00	S17	0.0233307	0.682304	0.247524	0.0004297	27261.2	1908	1821
S10	S00	S18	0.0247425	0.744791	0.228199	0.000456012	27255.2	1915.5	1823
S10	S00	S19	0.0251337	0.751785	0.22609	0.00046296	27255.2	1917	1823
S00	S11	S12	0.0401477	1.12383	0.130542	0.00265758	21452.4	6091.62	5621.38
S11	S00	S13	0.156218	7.08651	6.87688e-13	0.00853907	21264.8	6270.06	4575.75
S14	S00	S11	0.640169	48.6473	0	0.0766701	30902.4	17856.1	3917.38
S11	S00	S15	0.161277	7.16178	3.98191e-13	0.0088983	21210.1	6332.62	4573.69
S11	S00	S16	0.163141	7.39432	7.10671e-14	0.00900754	21184.9	6349.19	4568.12
S00	S11	S17	0.806653	59.5444	0	0.0668645	22745	15149.1	1621.25
S18	S11	S00	0.867886	148.475	0	0.104348	30698.2	22717	1606.75
S19	S11	S00	0.867611	148.917	0	0.104459	23777.7	22719.2	1610.5
S12	S13	S00	0.0732862	2.57161	0.00506134	0.00424693	52777.6	6123.5	5287.25
S12	S14	S00	0.768289	46.9748	0	0.146661	45037.4	33232	4354.62
S12	S15	S00	0.0837855	2.90699	0.00182465	0.00484466	52970.9	6166.88	5213.38
S12	S16	S00	0.0871173	2.91243	0.00179314	0.00505173	52937.1	6209.75	5214.5
S17	S12	S00	0.550139	17.3328	0	0.0261859	41185.5	7456.75	2164
S18	S12	S00	0.546379	16.9972	0	0.0261116	27389.6	7470.75	2191.5
S19	S12	S00	0.546309	16.9779	0	0.0261067	27385.4	7469.25	2191.5
S13	S14	S00	0.871346	58.9674	0	0.143074	66377.2	30111.2	2070.12
S13	S15	S00	0.023991	1.33057	0.0916658	0.000598337	78640	2502.25	2385
S13	S16	S00	0.0325753	1.72911	0.0418944	0.000811064	78667.6	2520	2361
S17	S13	S00	0.54976	18.8856	0	0.0303176	19129.8	8638.75	2509.75
S18	S13	S00	0.548426	18.3596	0	0.0302316	19165	8633.25	2517.75
S19	S13	S00	0.548267	18.3551	0	0.0302511	19158	8632.75	2518.75
S15	S14	S00	0.897297	70.2044	0	0.142596	71725.3	29521.9	1598.06
S16	S14	S00	0.897498	69.554	0	0.142415	71852.9	29474.3	1592.19
S00	S14	S17	0.768504	79.0704	0	0.0699238	36301.6	16283.5	2131.5
S00	S14	S18	0.767717	74.0426	0	0.0698075	36298.1	16297.2	2141.5
S00	S14	S19	0.767453	73.3349	0	0.0697902	36299.1	16295.2	2144
S15	S16	S00	0.100663	1.23708	0.10803	0.000213052	129698	228.25	186.5
S17	S15	S00	0.557987	19.5383	0	0.0308964	19173.8	8720.25	2474
S18	S15	S00	0.556558	19.004	0	0.0308465	19202.8	8715.75	2483
S19	S15	S00	0.556399	18.9894	0	0.0308341	19201.8	8715.25	2484
S17	S16	S00	0.559306	19.6681	0	0.0311085	19128.8	8765.25	2477.25
S18	S16	S00	0.557882	19.1147	0	0.031041	19159.5	8760.75	2486.25
S19	S16	S00	0.557724	19.1035	0	0.0310389	19158.5	8760.25	2487.25
S17	S18	S00	0.0570825	0.576791	0.28204	6.6739e-05	81593	125	111.5
S17	S19	S00	0.0632911	0.730813	0.232447	7.41948e-05	81567	126	111
S18	S19	S00	0.111111	0.410588	0.340687	7.42251e-06	133484	7.5	6
S03	S02	S01	0.0104484	0.565643	0.285818	0.000864946	13880.6	4110.12	4025.12
S04	S02	S01	0.00930466	0.482879	0.314591	0.000765388	13859.2	4084.69	4009.38
S01	S02	S05	0.142857	2.09749	0.0179749	0.000311928	72062.9	214	160.5
S01	S02	S06	0.113924	1.45682	0.0725835	0.000249978	72118.1	209	166.25
S01	S02	S07	0.100332	1.30565	0.0958359	0.000221223	72085.1	207	169.25
S01	S02	S08	0.0971867	1.37498	0.0845682	0.000223818	71985.9	214.5	176.5
S02	S01	S09	0.0153531	0.185134	0.426562	2.12297e-05	78787.4	124	120.25
S01	S02	S10	0.0406043	0.548142	0.291797	6.07776e-05	78811.4	137.75	127
S01	S02	S11	0.0873684	1.0276	0.152068	0.000123564	82998.1	129.125	108.375
S02	S01	S12	0.121076	1.33542	0.0908693	7.54711e-05	100786	62.5	49
S01	S02	S13	0.0580357	0.362498	0.35849	3.26854e-05	100046	59.25	52.75
S02	S01	S14	0.0406504	0.330948	0.370342	4.57872e-05	93964.2	100	92.1875
S02	S01	S15	0.0821918	0.566236	0.285617	4.54204e-05	100057	59.25	50.25
S02	S01	S16	0.0440529	0.316229	0.375914	2.52341e-05	100027	59.25	54.25
S02	S01	S17	0.153846	0.940026	0.173602	4.94421e-05	103923	37.5	27.5
S02	S01	S18	0.153846	0.940026	0.173602	4.93516e-05	103906	37.5	27.5
S02	S01	S19	0.153846	0.940026	0.173602	4.93383e-05	103906	37.5	27.5
S03	S04	S01	0.0105651	0.294081	0.384348	9.85814e-05	53553.4	463.312	453.625
S01	S03	S05	0.138965	2.24416	0.0124109	0.000297387	71975.4	209	158
S01	S03	S06	0.10221	1.43571	0.0755425	0.00021636	72029.4	199.5	162.5
S01	S03	S07	0.099723	1.38343	0.0832665	0.000210997	71993.4	198.5	162.5
S01	S03	S08	0.104222	1.4908	0.0680074	0.000232436	71894.1	209.25	169.75
S01	S03	S09	0.0602172	0.67234	0.250684	8.6252e-05	78697.4	134.25	119
S01	S03	S10	0.0597156	0.702633	0.241142	8.90487e-05	78723.4	139.75	124
S01	S03	S11	0.0686901	0.769849	0.220695	9.59659e-05	82914.1	125.438	109.312
S03	S01	S12	0.156187	1.50347	0.0663594	0.000107612	100709	71.25	52
S03	S01	S13	0.122363	1.00116	0.158375	7.28901e-05	99975.1	66.5	52
S03	S01	S14	0.0707136	0.885485	0.187948	8.01078e-05	93882.9	103.625	89.9375
S03	S01	S15	0.186147	1.37	0.0853438	0.000108491	99981.6	68.5	47
S03	S01	S16	0.151261	1.1899	0.117044	9.08122e-05	99950.9	68.5	50.5
S03	S01	S17	0.19697	1.27756	0.100702	6.43164e-05	103840	39.5	26.5
S03	S01	S18	0.179104	1.14834	0.125415	5.92389e-05	103823	39.5	27.5
S03	S01	S19	0.179104	1.14834	0.125415	5.91551e-05	103823	39.5	27.5
S01	S04	S05	0.115892	1.87963	0.0300794	0.000243334	71986.3	201	159.25
S01	S04	S06	0.0754052	1.09589	0.136563	0.000156327	72040.6	190.75	164
S01	S04	S07	0.0720339	1.02948	0.151628	0.000149529	72004.8	189.75	164.25
S01	S04	S08	0.0766129	1.10714	0.134117	0.000167709	71905.8	200.25	171.75
S01	S04	S09	0.0610611	0.614086	0.269579	8.62979e-05	78705.3	132.5	117.25
S01	S04	S10	0.0609874	0.637498	0.2619	8.89984e-05	78730.3	137	121.25
S01	S04	S11	0.0743757	0.729833	0.232746	0.000101894	82921	123.688	106.562
S04	S01	S12	0.149105	1.45917	0.072259	0.00010493	100720	72.25	53.5
S04	S01	S13	0.109705	0.881401	0.18905	6.5417e-05	99984.1	65.75	52.75
S04	S01	S14	0.0826419	1.06815	0.142726	9.11763e-05	93890.9	101.938	86.375
S04	S01	S15	0.143469	1.05165	0.146481	8.45478e-05	99989.6	66.75	50
S04	S01	S16	0.114823	0.895415	0.185283	6.94104e-05	99958.8	66.75	53
S04	S01	S17	0.213235	1.38162	0.0835448	7.17313e-05	103851	41.25	26.75
S04	S01	S18	0.195652	1.25316	0.105073	6.66126e-05	103835	41.25	27.75
S04	S01	S19	0.195652	1.25316	0.105073	6.65444e-05	103834	41.25	27.75
S06	S05	S01	0.0110713	0.537089	0.295603	0.000290813	23934	2260.25	2210.75
S07	S05	S01	0.0030426	0.156837	0.437687	7.92999e-05	23944.2	2225.25	2211.75
S05	S08	S01	0.0166488	1.02445	0.152812	0.00054669	19937.8	2839.5	2746.5
S01	S05	S09	0.00539747	0.409658	0.341028	0.00029149	11506	4796.5	4745
S01	S05	S10	0.0115093	0.903294	0.183185	0.000621415	11505.8	4833.75	4723.75
S01	S05	S11	0.00919064	0.577873	0.281675	0.000460947	15161.5	4251.56	4174.12
S05	S01	S12	0.217874	7.43063	5.40414e-14	0.00486179	31263.5	2442.75	1568.75
S05	S01	S13	0.270218	10.2155	0	0.00563022	30737.8	2646.5	1520.5
S05	S01	S14	0.410514	21.81	0	0.0154486	26565	4603.12	1923.75
S05	S01	S15	0.264244	10.1406	0	0.00555678	30744.5	2648.75	1541.5
S05	S01	S16	0.267371	10.374	0	0.00564826	30732.5	2667.5	1542
S05	S01	S17	0.0439963	1.49381	0.0676125	0.000592995	33406.8	1423.75	1303.75
S05	S01	S18	0.0419875	1.4038	0.0801886	0.000565098	33387.2	1420.75	1306.25
S05	S01	S19	0.0421477	1.41113	0.0791035	0.000566649	33387.8	1421.75	1306.75
S06	S07	S01	0.0932642	1.38945	0.0823483	0.000211542	70070.2	211	175
S06	S08	S01	0.0253773	1.51366	0.0650554	0.000837379	19842.5	2878.88	2736.38
S01	S06	S09	0.00100396	0.0878644	0.464992	5.37496e-05	11438	4736	4726.5
S01	S06	S10	0.00904835	0.759616	0.223742	0.000485968	11441.8	4795.25	4709.25
S01	S06	S11	0.00680455	0.494131	0.310607	0.000339329	15093.2	4212.25	4155.31
S06	S01	S12	0.2104	6.76601	6.61908e-12	0.0046487	31174.5	2403.25	1567.75
